loan_amnt,term,int_rate,installment,annual_inc,dti,open_acc,total_acc,loan_paid_back
36463.5,60,11.55,1160.87,77829.42,24.46,21,19,1
11092.42,60,11.71,755.47,86538.18,8.79,4,29,1
26838.37,36,17.71,848.35,,29.11,24,40,1
13156.73,60,8.26,468.05,51981.46,1.08,7,27,1
21282.65,36,20.33,648.63,130116.38,30.02,15,38,1
22321.7,36,16.64,1074.25,173747.75,11.32,22,16,1
8209.32,60,23.3,1171.77,105394.93,14.8,19,11,0
38813.8,60,12.3,599.05,73404.91,23.23,2,36,0
31230.18,60,24.65,1045.94,145974.79,24.42,15,28,1
37640.46,60,16.52,409.32,26670.9,16.85,17,27,0
35898.27,36,24.47,1253.07,98392.61,37.52,20,43,1
24318.1,60,5.54,926.43,141345.76,34.33,22,38,1
36953.1,60,19.56,1169.52,97243.85,9.0,6,9,1
4451.21,36,21.33,731.42,99449.23,23.56,3,36,1
8643.33,36,6.06,366.79,215108.23,28.84,20,17,1
2763.86,36,16.58,660.97,234818.11,8.68,14,36,1
13687.88,60,21.04,590.78,210300.31,0.74,3,15,1
16158.41,36,16.22,519.09,42739.51,39.02,8,12,0
11582.61,60,6.28,341.9,86640.76,38.33,4,36,0
33320.76,60,18.87,1145.98,183597.7,12.81,17,22,0
14913.38,60,6.21,156.94,244110.34,9.56,22,23,1
11956.45,60,21.35,1334.71,75724.76,6.18,2,11,1
22165.15,36,5.86,287.29,226588.41,27.49,13,22,1
6496.04,36,7.75,1470.41,189973.45,30.21,21,42,1
32285.68,36,10.5,1483.05,246193.58,16.82,7,45,0
3907.48,36,17.67,615.63,41524.66,9.71,12,21,1
39488.59,36,24.53,1482.1,110791.52,17.95,11,47,1
31117.55,60,7.36,1307.53,129966.45,20.65,5,39,1
8749.91,60,7.85,151.17,174579.0,21.74,12,13,0
1215.36,60,12.38,1422.57,170413.57,17.73,8,41,1
32803.0,60,21.72,92.5,228459.43,0.15,17,13,1
28567.44,36,14.34,297.41,212894.82,18.87,7,19,1
29431.28,60,11.43,889.36,32735.71,13.89,22,26,1
31079.54,60,16.22,148.68,131904.23,22.26,7,37,1
3887.74,60,10.21,267.74,113624.08,2.78,4,37,1
14980.16,60,13.02,1431.63,249343.25,35.17,19,31,1
5518.89,60,11.65,1492.19,118269.38,35.02,10,36,0
34661.03,60,21.08,1203.26,177002.4,22.56,11,37,1
25308.63,36,23.49,787.36,85418.77,29.48,18,37,1
13905.02,36,20.19,1353.44,161364.66,17.52,4,28,1
3478.78,60,13.78,194.49,67525.61,,24,10,1
13128.31,60,15.09,1416.05,158829.53,24.71,11,5,0
13682.15,60,7.5,546.78,219683.75,14.16,6,13,1
29454.64,60,19.94,1296.39,24424.69,38.43,3,27,1
25864.74,60,16.93,1012.51,136054.87,24.1,24,12,1
35601.3,36,23.05,1441.6,245945.24,39.62,4,33,1
19416.38,36,9.01,1301.08,56630.38,17.29,22,22,0
5664.18,60,20.19,1335.21,62184.84,1.29,18,38,1
28816.55,36,18.69,958.68,128289.46,12.1,10,12,1
30670.62,60,10.32,1254.74,220328.43,26.03,2,14,1
22889.81,60,18.35,1142.98,149434.71,36.41,6,39,0
31067.72,36,23.49,267.59,137002.99,24.61,10,20,1
20258.03,36,23.37,983.44,39954.12,18.87,24,28,1
21386.58,36,19.39,247.82,241256.78,3.23,10,12,1
17674.1,36,5.96,1308.1,99836.66,5.79,7,15,1
1991.35,60,22.45,126.95,77915.64,2.14,7,9,1
5207.77,36,18.16,1480.96,114701.11,28.45,17,28,0
2225.74,36,11.21,618.92,115261.9,33.24,10,40,1
25820.01,36,8.75,280.83,125462.62,6.58,18,9,1
13259.88,60,7.32,1405.44,178363.79,13.01,14,42,1
20834.26,60,6.0,96.78,219627.71,19.16,4,34,1
36395.09,60,20.08,721.06,33181.96,5.71,10,15,1
10722.4,36,9.72,1162.23,132876.77,16.65,15,42,1
17004.93,36,5.49,495.62,115214.97,38.67,4,30,1
30466.49,36,12.95,807.39,22502.43,28.77,5,43,0
9923.13,60,14.65,1059.61,207792.57,6.68,21,7,1
4002.22,36,8.38,1429.41,43992.04,3.95,15,44,1
12300.31,36,5.88,180.97,46392.04,17.81,19,41,1
7287.63,60,8.78,261.12,31108.64,39.52,2,45,1
37258.21,36,18.58,778.04,66096.98,31.73,21,17,1
32516.69,36,6.64,645.16,60667.74,11.72,20,18,1
25702.75,36,16.1,633.87,100009.14,1.05,6,30,1
34986.96,36,7.93,466.53,171632.19,16.45,9,14,1
32343.21,60,8.91,854.21,32487.67,6.42,8,27,1
8276.23,60,12.86,1328.43,217863.42,7.21,22,15,1
35809.8,60,7.02,266.56,95113.08,6.49,17,8,1
22034.35,36,8.46,346.47,159519.69,28.78,12,17,1
32490.17,36,11.98,1016.11,22761.18,1.43,9,35,0
35947.56,60,11.59,112.61,104135.82,22.59,7,22,1
13402.14,36,19.99,1020.43,20471.71,30.1,14,45,1
5292.03,60,6.5,492.25,58055.4,6.26,12,38,0
9889.47,60,22.21,556.05,123005.6,35.72,16,18,1
17657.2,36,21.32,626.16,143070.11,3.13,2,29,1
32902.58,60,20.32,543.89,55173.58,27.31,5,29,0
34568.49,60,11.19,1266.58,,6.88,21,6,1
1271.13,60,21.46,1420.72,63470.84,32.24,18,22,0
20919.14,60,8.66,835.58,46644.37,22.86,9,22,0
17279.03,60,7.49,885.36,96687.64,23.57,8,46,1
9662.2,60,5.9,133.61,146828.59,13.84,19,27,1
5674.75,36,23.79,1078.39,247447.42,11.33,24,6,1
14166.99,60,11.16,888.63,116304.62,18.53,4,25,0
37773.48,60,23.35,104.08,117979.18,30.31,17,5,1
13604.91,36,10.45,321.69,33646.7,6.73,13,33,0
21232.83,36,23.15,326.86,196138.52,32.65,12,36,0
28417.74,60,23.08,281.32,61810.09,19.19,7,40,1
15181.55,36,23.47,998.21,191304.82,18.09,6,17,1
38899.5,36,14.92,1394.81,229441.88,0.66,11,17,1
38535.44,60,22.32,1151.57,196690.78,4.97,2,7,1
10819.51,36,24.02,731.74,167764.29,17.28,22,34,1
20392.69,60,11.49,623.96,158900.75,39.25,16,42,1
12734.25,60,13.38,598.09,124335.57,10.01,12,29,0
12108.78,60,19.38,913.83,53244.82,0.41,2,40,1
2438.59,60,11.01,558.05,199132.88,17.43,15,49,1
24773.01,36,20.08,362.4,129784.12,0.64,12,18,1
20604.48,60,6.48,916.18,163898.54,13.45,8,38,1
3007.67,36,15.47,604.34,106023.5,14.16,5,26,1
11867.21,36,7.45,50.76,66166.23,0.09,15,5,0
36422.37,60,10.87,62.68,205496.95,31.18,9,27,1
10342.91,60,10.17,432.98,98751.96,36.51,24,30,1
6650.9,36,21.78,783.26,219336.41,39.95,9,25,1
20088.66,60,8.87,550.73,242116.73,20.35,23,9,1
39440.37,60,21.17,65.36,210897.36,12.26,19,10,0
10440.16,60,20.88,358.03,49471.75,28.7,11,48,1
27213.29,36,14.98,171.74,216652.51,29.46,5,24,1
30703.16,36,9.68,1424.49,139452.3,15.17,8,40,1
10267.86,36,9.54,489.87,75524.67,22.62,17,25,1
29400.44,36,14.3,51.71,41425.89,32.87,8,47,1
15343.54,60,5.18,1001.03,84057.26,7.57,14,39,0
25659.93,60,15.63,371.7,51608.23,0.82,4,18,0
25707.66,36,24.06,863.1,25898.25,21.59,19,44,1
21895.21,36,8.09,251.6,247185.8,26.58,10,29,1
4521.3,36,16.47,1476.5,211254.72,23.0,20,21,0
33576.8,36,24.24,1456.28,189958.33,23.85,5,43,0
13510.42,36,22.21,994.3,64393.17,15.72,9,7,1
8274.22,60,22.01,1069.59,26379.38,26.06,18,43,0
2590.23,36,21.44,656.04,131596.89,1.71,16,14,1
24044.82,36,11.18,1444.4,190589.72,6.05,4,10,1
27425.01,60,22.81,652.9,241452.59,17.79,7,16,1
1646.93,60,23.83,382.02,214093.25,37.72,23,41,1
20971.63,60,14.92,199.61,225505.54,25.78,24,32,1
9833.34,36,12.09,335.94,74892.43,14.21,3,40,1
26161.74,60,13.28,871.15,55724.98,18.32,18,5,1
7800.29,36,11.68,390.28,76989.81,33.83,15,42,1
27946.57,36,9.25,991.75,51873.28,21.7,14,35,1
16082.68,60,17.37,591.81,203651.28,1.91,15,21,1
37532.47,36,16.25,1333.7,227699.9,16.67,9,26,1
6363.32,36,14.25,850.96,90688.67,15.52,11,38,0
14301.59,60,6.92,945.23,221693.02,36.0,2,38,0
5425.47,60,20.94,848.14,32658.09,12.22,3,47,1
37063.05,60,8.5,1331.79,175792.0,2.59,5,33,1
35216.23,60,7.29,123.23,141323.44,14.19,17,26,1
11059.72,60,17.46,129.0,83650.96,1.76,24,39,1
26739.38,60,12.97,1061.56,196686.25,33.29,12,42,1
32871.67,60,6.2,1158.91,68770.87,23.61,22,20,1
22652.83,60,12.11,667.38,115714.38,18.78,16,35,1
21656.37,60,20.44,547.89,183267.65,14.39,23,39,0
10432.24,60,17.3,438.58,97792.67,16.71,24,14,1
4631.01,36,12.26,374.56,216732.84,31.51,2,48,0
35991.41,36,8.84,1370.58,219048.21,7.2,23,10,1
36116.3,36,17.64,463.86,66582.0,2.86,21,23,1
25690.96,60,22.75,982.68,121289.7,22.47,11,16,1
14222.16,36,17.93,1187.03,119362.91,34.36,14,31,0
14619.17,36,21.26,62.29,114310.38,22.49,22,37,1
29312.27,36,15.43,79.8,135453.59,31.85,17,30,1
35987.3,36,19.36,519.71,37104.25,35.71,16,48,1
35596.37,36,22.92,1053.14,220111.5,3.08,6,41,1
31415.15,60,20.46,413.37,86680.4,23.57,18,28,0
26039.23,60,23.2,32.18,20416.85,33.31,20,35,1
4281.46,60,13.62,453.58,177573.9,25.74,14,6,0
7303.52,36,23.08,162.49,169608.58,23.66,3,26,1
36043.61,36,17.43,352.54,246127.31,31.52,9,22,1
24650.73,60,22.4,519.79,185426.86,28.29,2,24,1
1358.69,60,5.79,218.24,96522.4,20.06,3,45,0
4957.39,60,18.16,1068.36,239102.04,1.76,10,22,1
26876.57,36,21.96,406.2,104029.53,24.53,13,33,1
1197.4,60,8.48,1001.81,208886.28,8.53,10,29,1
7271.51,60,18.24,910.58,97205.04,10.16,2,15,0
22400.62,60,21.5,1350.13,31202.91,27.18,9,40,1
27983.91,60,10.76,159.26,188770.52,18.12,8,16,0
26426.49,60,13.1,345.47,100548.51,28.67,21,12,1
9746.5,36,16.39,1301.81,97944.17,15.7,24,32,1
28774.99,36,15.38,1238.53,184645.87,34.8,11,7,1
10252.71,60,5.78,312.4,94068.71,17.08,2,37,1
13690.59,36,6.97,188.37,47142.92,19.75,16,44,1
30113.16,60,7.01,1288.67,113037.36,5.05,4,15,1
26335.68,60,10.25,291.86,209484.13,20.14,19,24,1
34119.71,36,9.92,1310.53,49947.03,9.59,22,34,0
26646.9,36,19.84,1442.84,147530.58,30.52,6,32,1
23164.04,36,16.45,354.59,50419.64,28.56,22,36,1
4653.32,36,20.28,1265.37,31312.06,0.63,18,19,1
15340.92,60,6.4,653.03,107103.25,19.75,2,20,1
11342.89,36,14.7,1189.5,171313.16,1.82,19,9,1
10515.6,60,11.48,628.87,83247.09,22.77,4,8,1
38947.41,60,22.0,133.48,122518.16,36.07,3,31,1
16330.81,60,19.16,1077.66,133006.11,34.69,13,8,1
35789.82,60,22.39,251.51,213496.76,9.75,10,21,1
25614.41,60,5.93,1392.73,208365.22,5.6,10,18,1
31997.64,36,19.42,644.09,20539.86,31.64,23,5,1
20602.85,60,15.8,150.54,115201.37,21.85,12,13,1
23499.25,36,21.5,365.87,170900.94,16.95,7,35,1
20208.19,60,15.14,1297.9,216051.12,32.42,10,16,1
8614.48,36,15.8,502.0,31246.49,10.1,6,12,0
29175.63,36,6.04,1288.8,164497.11,8.98,21,39,1
11950.12,60,18.37,283.26,213664.48,24.48,22,43,1
1948.32,60,10.46,718.28,78667.48,10.9,14,27,1
26173.42,36,5.39,1321.04,67208.96,17.07,15,5,1
7907.32,60,6.33,101.16,127605.36,18.19,17,5,0
37677.88,60,24.15,477.29,241393.3,8.2,19,18,1
38203.21,36,11.92,1367.48,179363.87,2.47,9,43,1
36679.71,36,22.36,906.89,117631.56,30.67,3,43,1
15436.19,60,24.19,1082.86,24798.44,31.34,18,36,1
1602.81,60,23.87,1267.93,148046.95,23.93,12,41,1
37204.42,60,22.63,799.69,100221.24,5.94,7,48,0
17699.18,60,22.9,1272.69,62714.14,19.05,22,32,1
38699.54,36,10.78,968.98,135034.06,7.12,10,40,1
38581.18,36,8.03,1037.91,98518.01,35.25,2,37,0
34267.37,60,17.79,254.7,28906.68,27.89,12,31,0
12483.51,36,14.76,1410.36,186866.38,1.26,13,37,1
16018.81,36,6.97,1200.24,188494.07,0.07,7,7,1
34194.33,36,18.55,403.67,162331.23,39.35,24,24,0
13359.96,36,16.26,882.59,213388.75,1.59,16,39,1
7610.22,36,22.26,583.4,66731.76,34.63,7,41,1
22715.25,36,17.18,1000.79,85826.36,38.23,19,18,1
37510.04,36,16.48,1490.81,125490.83,12.32,8,15,1
28145.16,60,13.82,97.25,33840.29,21.61,9,45,1
23232.39,60,14.26,1430.21,223215.53,25.9,6,6,1
4789.88,36,24.09,136.42,132844.58,20.82,9,8,1
24985.28,36,7.77,707.32,94672.55,8.54,7,14,1
39612.1,36,13.92,738.7,129931.59,23.25,20,11,1
6463.28,36,18.12,425.02,94779.86,10.35,23,23,0
21214.86,36,13.66,863.05,85840.59,6.6,12,11,0
35217.55,60,10.66,1255.93,123044.24,20.22,13,31,1
29889.98,36,10.75,462.12,130838.07,14.88,18,38,0
28183.61,60,9.67,133.5,119669.44,1.1,12,9,1
28396.88,60,11.88,959.46,146024.12,37.99,13,44,1
15020.15,36,22.43,1135.07,200177.17,1.58,8,34,1
12450.08,36,15.1,1433.15,33171.68,36.12,9,44,1
32565.09,36,9.8,264.5,206649.3,7.59,9,45,1
32594.42,60,12.69,1355.0,72562.91,5.67,5,30,1
34815.82,60,7.12,738.72,77981.37,2.77,22,13,1
36616.38,60,23.08,376.56,157877.29,17.03,19,39,1
20942.35,36,13.16,1445.24,244404.4,23.47,18,10,1
20559.14,36,24.61,380.49,24001.85,36.15,17,29,1
32133.51,36,11.95,1108.16,174820.73,31.35,24,47,1
26348.59,36,21.73,1183.78,180286.36,6.38,16,48,0
28376.71,36,10.13,662.86,151939.91,6.71,9,14,0
32035.91,36,6.52,1044.28,22228.73,0.33,14,23,1
35710.21,60,5.63,871.54,159460.91,27.51,9,39,0
14181.81,60,17.12,312.29,46454.9,0.7,6,43,1
15647.74,36,11.23,1147.04,37955.57,5.54,8,30,1
4665.3,36,13.87,1394.18,180094.16,25.38,6,49,1
23552.93,60,21.37,748.3,181053.95,6.01,15,39,0
2401.75,60,9.96,1491.64,224679.73,6.13,2,7,0
19158.32,60,11.17,659.11,20777.51,9.36,4,9,0
22163.14,36,21.91,735.21,107114.77,15.41,18,49,1
12175.11,60,14.86,1020.63,22822.56,0.31,13,13,1
24042.5,60,21.55,303.08,103872.39,29.84,21,33,1
2189.51,60,12.49,1355.86,133081.33,30.95,14,48,1
2456.58,60,12.97,1207.87,141837.71,14.67,2,38,0
33081.42,60,8.34,1312.45,101864.52,31.92,18,24,1
15047.44,36,23.33,926.05,186819.31,11.39,18,20,1
5955.36,36,22.94,1329.11,115586.83,39.43,24,37,1
21367.49,60,24.68,1029.56,138939.1,15.91,10,44,1
31029.75,36,13.05,781.99,204020.15,26.75,6,26,1
9417.02,36,21.37,1399.73,60089.64,12.9,7,19,0
25292.73,60,13.3,676.39,93805.9,18.03,20,40,1
4328.55,36,14.09,765.84,139928.81,25.8,2,26,1
3015.59,36,21.6,279.23,196552.19,13.9,11,38,1
21722.83,60,8.55,1423.06,117831.75,26.26,22,29,0
22084.77,60,9.41,354.95,36736.36,5.84,4,32,1
25859.77,36,11.29,326.08,247431.02,19.35,15,38,1
29317.56,36,20.76,178.76,182819.47,10.91,23,25,1
39058.23,36,12.45,696.44,186229.08,36.8,13,31,0
21135.71,60,12.16,432.21,126974.13,32.99,22,5,1
13595.3,36,24.98,1118.95,145819.21,19.5,20,33,1
32012.26,36,12.68,482.06,248631.14,18.15,17,36,1
11562.46,60,9.96,1089.53,156876.61,33.36,14,17,1
18119.89,36,17.46,318.06,70353.78,27.62,14,17,1
4059.8,60,21.04,368.05,241807.34,27.33,16,40,0
1988.68,36,6.39,1215.08,143685.42,21.93,20,17,1
38543.29,60,17.38,575.51,24754.87,34.49,15,9,1
33603.22,36,5.71,194.31,151870.84,7.58,20,14,1
28142.99,36,15.53,1443.26,36209.39,34.48,10,18,1
16949.16,60,10.14,290.77,141345.31,20.83,21,21,1
7758.48,60,11.13,250.79,209826.29,24.85,7,6,0
7101.04,60,14.34,556.82,143939.27,38.5,14,38,0
10759.47,60,23.54,170.58,105894.27,16.98,3,20,1
22419.84,60,19.21,258.76,223000.24,26.72,8,29,1
28869.24,60,23.74,1274.27,,20.89,18,11,1
26747.7,60,18.2,282.12,99922.93,37.26,13,38,1
11917.42,36,5.14,193.8,,19.51,8,26,1
38239.75,36,10.31,1323.54,246072.13,10.25,22,30,0
29777.98,36,23.12,682.38,60963.19,19.31,11,24,0
22619.81,36,17.87,261.03,88575.24,36.67,23,46,1
24857.11,36,24.63,884.83,118537.16,20.03,4,5,1
17364.4,36,8.12,91.01,43204.31,5.85,8,13,1
10661.51,36,10.93,658.25,82569.79,21.66,16,26,1
14882.93,60,12.25,897.76,145278.4,15.5,5,35,1
30556.0,36,11.53,1436.97,72554.55,25.99,18,21,1
1561.35,60,10.04,509.9,177845.55,9.65,14,6,1
5526.83,36,13.87,1154.63,99964.44,12.89,23,20,1
2794.1,60,17.85,225.07,40652.84,20.66,21,47,0
2588.42,36,11.23,667.37,195842.6,4.73,2,14,1
34362.96,36,6.59,358.01,150505.75,8.42,22,14,1
28442.66,36,19.17,753.93,209719.94,32.05,13,29,1
19492.78,36,14.18,643.33,102834.87,37.57,14,39,1
4815.53,60,16.13,1470.28,24457.27,38.78,2,19,1
20173.02,36,14.11,1378.72,30738.35,,2,23,1
19465.4,60,22.81,885.84,202953.46,37.68,12,8,1
7754.87,36,16.17,289.47,114447.48,32.84,22,26,1
17920.21,36,23.47,848.73,244568.71,29.42,21,40,1
16541.68,36,15.21,1194.36,210970.93,9.27,11,26,1
25018.15,36,10.85,85.9,23708.03,17.67,23,23,1
25768.65,60,12.11,668.02,,15.92,17,13,0
2766.86,60,15.44,92.69,68959.22,29.21,4,15,1
15609.89,60,15.6,388.62,131840.93,19.02,21,12,1
25408.54,36,18.75,165.41,136407.91,14.41,14,5,1
20622.31,36,9.49,1442.05,33735.88,32.56,20,26,0
34403.1,36,18.18,278.18,48903.1,30.0,19,6,1
26689.05,36,20.57,250.65,117300.9,14.75,21,19,1
7354.44,60,18.53,1458.92,167802.8,16.77,19,33,1
3752.18,60,14.64,788.47,80815.9,35.73,14,19,1
26054.35,60,24.83,1144.24,141072.22,29.31,15,47,1
2033.94,36,13.1,511.15,107201.14,27.6,2,22,1
23845.25,60,7.13,813.31,164983.61,28.47,17,14,1
37668.98,36,21.43,40.07,117620.58,4.09,22,23,1
23443.49,60,9.24,630.96,215875.61,22.54,23,14,0
16138.63,60,19.27,845.98,246261.14,11.64,16,31,1
26088.24,60,8.58,786.18,230001.92,3.39,22,26,1
18871.86,60,5.34,626.55,58778.97,29.24,12,34,0
22279.05,36,8.2,1188.22,125150.87,12.17,11,29,1
37717.13,36,12.54,767.41,125528.08,12.4,16,19,1
16058.0,60,7.13,965.1,213307.27,25.59,21,7,1
38486.43,60,8.95,301.39,102153.54,26.65,7,13,1
36308.68,36,20.29,1296.41,146408.43,18.96,2,38,1
8635.85,60,20.4,563.37,160134.17,22.26,19,37,1
3705.09,60,21.35,738.69,45649.78,33.96,8,27,0
4930.34,60,21.82,547.73,148331.06,4.28,7,14,1
1710.65,36,13.41,1341.1,76773.54,2.61,15,38,0
4683.28,36,22.35,1354.09,67521.88,26.25,14,43,1
27637.26,60,15.52,359.7,77572.58,24.15,3,5,0
3776.36,60,14.41,1136.49,42850.96,7.44,11,12,1
13440.05,36,19.37,181.24,36037.96,20.88,13,43,1
33950.14,36,9.28,73.88,168779.26,29.83,22,18,1
1907.61,36,20.79,1259.78,236425.14,29.27,7,7,1
32764.27,36,13.59,222.83,178239.91,23.83,24,16,1
11992.34,36,7.55,257.53,91726.79,5.22,9,18,1
5608.43,36,7.39,921.68,97060.72,12.16,22,47,1
28172.75,36,8.3,1230.65,144519.52,16.23,19,22,1
25528.77,36,22.81,308.71,219249.43,31.53,2,38,1
35221.41,60,24.82,197.86,66566.85,21.75,23,13,1
29667.77,60,12.14,143.66,127757.61,29.33,7,6,1
32335.76,36,10.84,66.52,134757.75,36.94,11,19,1
11999.35,60,9.38,201.22,234181.43,24.96,8,13,1
7920.14,36,21.48,1415.76,143315.16,9.49,18,15,0
30273.98,60,9.18,170.07,199597.49,5.58,8,25,1
32466.55,36,23.48,908.41,40194.27,0.02,21,5,1
39629.7,36,18.35,1383.82,95192.43,7.03,3,24,1
17092.09,60,22.94,952.9,160627.39,10.77,11,30,1
15508.71,60,16.08,78.14,175856.72,10.79,16,13,1
31280.11,60,18.81,906.73,223598.79,26.68,10,20,1
14291.34,60,17.39,1357.51,155797.46,6.01,9,30,1
37299.54,60,21.62,504.16,86603.22,17.42,11,12,1
34478.1,36,21.72,491.03,143991.9,0.2,13,31,1
17730.77,36,16.8,395.83,183651.9,10.45,4,14,1
30283.97,36,17.65,773.15,200399.4,1.64,2,19,1
30427.17,60,23.44,379.78,237254.38,28.38,22,23,1
5021.83,36,23.6,1093.97,63873.11,14.17,9,28,1
36199.56,36,18.28,977.95,172017.39,19.2,19,17,1
20704.84,60,5.16,619.14,66071.01,30.46,13,48,1
33231.84,36,7.09,1092.16,93110.64,34.52,10,11,1
13481.93,60,22.16,174.79,52835.83,20.67,7,11,1
35925.41,60,6.69,1131.81,197788.56,25.99,9,40,1
16178.87,36,9.27,916.28,230219.89,29.44,11,32,0
1422.67,36,9.61,956.22,26883.62,11.41,6,40,0
36309.9,60,17.0,125.06,207106.85,28.29,9,19,1
4560.18,60,16.53,938.66,75603.74,26.15,11,39,1
13453.23,36,10.79,756.36,132002.92,17.72,4,16,1
38052.42,36,9.15,744.22,192090.41,13.63,24,32,0
38073.68,36,20.29,503.12,136576.49,38.95,19,35,1
23364.08,36,23.71,41.19,73187.48,39.45,23,35,1
25641.65,36,6.06,651.28,228418.11,27.8,8,16,1
18489.38,60,7.66,619.35,156524.01,15.37,10,21,1
12435.22,60,17.84,651.52,234188.78,30.06,8,8,1
13817.92,36,21.09,929.63,214727.51,27.17,23,15,1
27228.22,36,20.82,470.86,221615.16,21.8,23,37,1
30342.61,36,19.39,425.99,,5.27,9,44,1
31871.58,36,22.75,761.74,247082.48,37.86,17,27,0
31795.11,36,9.35,900.71,216050.73,9.31,12,18,1
4557.04,60,7.15,863.97,97649.61,15.73,23,15,0
20282.39,60,17.31,1326.01,226175.53,13.7,16,26,1
3244.79,36,21.45,1160.64,193717.35,6.15,15,45,1
22431.63,36,16.64,106.72,,0.98,18,46,1
18219.69,36,24.26,858.31,21431.94,37.19,16,13,1
35620.46,60,20.91,644.19,25190.62,29.58,5,40,1
14685.69,60,19.02,560.75,179802.28,0.83,14,26,1
5565.61,60,6.21,1438.11,84097.22,27.51,5,35,1
6576.68,36,7.15,701.49,33459.22,5.19,22,35,1
30698.91,36,20.7,1087.57,85768.74,,20,44,1
25110.5,60,8.96,1451.62,212719.18,20.21,19,10,1
4943.78,60,5.58,251.97,128240.71,39.11,20,48,0
4280.17,36,23.22,110.29,161583.23,17.29,12,24,1
28337.8,60,22.82,491.02,204116.25,29.96,7,13,1
3837.76,60,9.37,95.33,94376.13,1.65,11,44,1
33052.54,60,20.6,201.64,22563.56,37.42,9,24,1
28543.45,36,5.96,1487.81,94363.85,22.5,21,24,1
4172.6,36,10.7,1441.46,,12.57,5,40,1
4308.67,60,17.47,1046.2,130925.55,5.08,21,5,1
39478.94,60,20.26,1136.89,151055.75,25.63,5,47,1
15596.56,36,5.21,236.52,,29.85,12,39,1
15455.04,36,11.52,905.0,46434.68,3.41,9,45,1
32699.18,60,9.29,256.99,188805.27,6.59,20,15,1
37942.69,60,24.98,586.23,,15.42,2,7,1
39454.04,60,18.42,537.66,109277.14,34.07,22,10,0
30381.75,36,13.11,932.52,81982.67,39.32,18,25,1
15674.12,60,6.51,147.15,55315.48,29.8,23,13,1
4256.53,60,16.97,182.09,103136.12,0.22,22,24,1
31308.73,60,17.83,926.6,41766.96,36.14,7,23,1
22777.77,60,21.33,965.09,214298.95,1.06,22,30,0
17544.66,60,10.77,529.63,90367.66,35.89,20,18,1
36347.82,36,24.63,245.9,170331.98,16.41,17,28,1
5336.7,60,13.79,1332.54,88239.98,29.67,12,7,0
20212.38,60,10.92,107.83,,3.48,17,49,1
1442.79,36,11.97,1084.54,184141.13,6.6,13,32,1
19277.77,36,15.39,235.87,163520.88,18.03,2,43,1
3195.83,60,23.73,966.94,70164.13,1.54,13,48,1
5633.9,60,19.7,1005.57,160782.11,15.59,24,5,1
